Title,Source/Institution,"Type, Tags",Link,Notes,"Date",,,,search terms
UCSF Inpatient Adult COVID-19 Interim Management Guidelines,UCSF ,Management,https://infectioncontrol.ucsfmedicalcenter.org/sites/g/files/tkssra4681/f/UCSF%20Adult%20COVID%20draft%20management%20guidelines.pdf,,,,,,[institution] covid-19 resource guidelines
UCSF Health interim guidance for Adult ED and hospitalized patients with suspected respiratory illness,UCSF ,Screening,https://infectioncontrol.ucsfmedicalcenter.org/sites/g/files/tkssra4681/f/3_13%20COVID%20flowsheet%20649.pdf,,,,,,[institution] covid-19 protocol guidelines healthcare providers
UCSF Continue to Work / Return to Work,UCSF ,Return to Work,https://infectioncontrol.ucsfmedicalcenter.org/sites/g/files/tkssra4681/f/Continue_to_Work-Return_to_Work_SIMPLE_SHEET.pdf,,,,,,
UCSF Health COVID-19 Algorithm for On-site Respiratory Evaluation in Adult Respiratory Screening Clinics (RSCs) & Accelerated Care Units (ACUs),UCSF ,Screening,https://infectioncontrol.ucsfmedicalcenter.org/sites/g/files/tkssra4681/f/Continue_to_Work-Return_to_Work_SIMPLE_SHEET.pdf,,,,,,
UCSF Respiratory Care management,UCSF ,Management,https://infectioncontrol.ucsfmedicalcenter.org/sites/g/files/tkssra4681/f/COVID-19%20Respiratory%20Management.pdf,Approach to aerosol-generating procedures and endotracheal intubation,,,,,
UCSF Health interim guidance for Pediatric ED and hospitalized patients with suspected respiratory illness,UCSF ,Management -Peds,https://infectioncontrol.ucsfmedicalcenter.org/sites/g/files/tkssra4681/f/Peds%20ED_inpatient%20Algorithm_3.7.2020.pdf,,,,,,
PPE Summary,UCSF ,PPE,https://infectioncontrol.ucsfmedicalcenter.org/sites/g/files/tkssra4681/f/Revised%20PPE%20Guidelines_DY.pdf,,,,,,
Personal Protective Equipment Re-Use Recommendations,UCSF,PPE,https://infectioncontrol.ucsfmedicalcenter.org/sites/g/files/tkssra4681/f/Reuse_Guidelines_PPE.pdf,,,,,,
UCSF COVID-19 CONTROL PLAN,UCSF,Infection Control,https://infectioncontrol.ucsfmedicalcenter.org/sites/g/files/tkssra4681/f/UCSF%20COVID-19%20Control%20Plan_02-28-2020.pdf,Overview of UCSF policies,,,,,
Surviving Sepsis Campaign COVID-19 Guidelines,Society for Critical Care Medicine,General Guideline,https://www.sccm.org/getattachment/Disaster/SSC-COVID19-Critical-Care-Guidelines.pdf?lang=en-US,,,,,,
Interim Infection Prevention and Control Recommendations for Patients with Suspected or Confirmed Coronavirus Disease 2019 (COVID-19) in Healthcare Settings,US Centers for Disease Control (CDC),Infection Control,https://www.cdc.gov/coronavirus/2019-ncov/infection-control/control-recommendations.html,,,,,,
UCSF Respiratory Illness Packet,UCSF,PPE,https://infectioncontrol.ucsfmedicalcenter.org/sites/g/files/tkssra4681/f/Resp%20inf%20cart%20packet.pdf,,,,,,
Interim Clinical Guidance for Management of Patients with Confirmed Coronavirus Disease (COVID-19),US Centers for Disease Control (CDC),Management,https://www.cdc.gov/coronavirus/2019-ncov/hcp/clinical-guidance-management-patients.html,,,,,,
Operational considerations for case management of COVID-19 in health facility and community,World Health Organization (WHO),Infection Control,https://apps.who.int/iris/bitstream/handle/10665/331492/WHO-2019-nCoV-HCF_operations-2020.1-eng.pdf,,,,,,
Rational use of personal protective equipment for coronavirus disease 2019 (COVID-19),World Health Organization (WHO),PPE,https://apps.who.int/iris/bitstream/handle/10665/331215/WHO-2019-nCov-IPCPPE_use-2020.1-eng.pdf,,2/27/20,,,,
Infection prevention and control for coronavirus disease (COVID-19): Interim guidance for acute healthcare settings,Public Health Agency of Canada,Infection Control,https://www.canada.ca/en/public-health/services/diseases/2019-novel-coronavirus-infection/health-professionals/interim-guidance-acute-healthcare-settings.html,,,,,,
