Title,Source/Institution,Tags,Inpatient/Ambulatory,Resource Type,Link,Notes,Date,,,,search terms
UCSF Inpatient Adult COVID-19 Interim Management Guidelines,UCSF ,"General Resource, Management, Airway Management, Drug Therapy, Ventilation, CPR",Inpatient/ED,Protocol/Guideline,https://infectioncontrol.ucsfmedicalcenter.org/sites/g/files/tkssra4681/f/UCSF%20Adult%20COVID%20draft%20management%20guidelines.pdf,,3/28/20,,,,[institution] covid-19 resource guidelines
"UCSF Health Interim Guidance for Adult ED, Inpatient OB Triage, Birth Center, and Hospitalized Patients with Suspected Respiratory Illness",UCSF ,"Screening, Special Populations - OB",Inpatient/ED,Protocol/Guideline,https://infectioncontrol.ucsfmedicalcenter.org/sites/g/files/tkssra4681/f/3_13%20COVID%20flowsheet%20649.pdf,,3/30/20,,,,[institution] covid-19 protocol guidelines healthcare providers
UCSF Continue to Work / Return to Work,UCSF ,Return to Work,Ambulatory/Discharge,Protocol/Guideline,https://infectioncontrol.ucsfmedicalcenter.org/sites/g/files/tkssra4681/f/Continue_to_Work-Return_to_Work_SIMPLE_SHEET.pdf,,3/26/20,,,,
UCSF Health COVID-19 Algorithm for On-site Respiratory Evaluation in Adult Respiratory Screening Clinics (RSCs) & Accelerated Care Units (ACUs),UCSF ,Screening,"Inpatient/ED, Ambulatory/Discharge",Protocol/Guideline,https://infectioncontrol.ucsfmedicalcenter.org/sites/g/files/tkssra4681/f/Algorithm%20for%20Onsite%20Ambulatory%20Respiratory%20Evaluation.pdf,,,,,,
UCSF Respiratory Care management,UCSF ,Airway management,Inpatient/ED,Protocol/Guideline,https://infectioncontrol.ucsfmedicalcenter.org/sites/g/files/tkssra4681/f/COVID-19%20Respiratory%20Management.pdf,,,,,,
UCSF Health interim guidance for Pediatric ED and hospitalized patients with suspected respiratory illness,UCSF ,"Screening, Special Populations - Pediatrics",Inpatient/ED,Protocol/Guideline,https://infectioncontrol.ucsfmedicalcenter.org/sites/g/files/tkssra4681/f/Peds%20ED_inpatient%20Algorithm_3.7.2020.pdf,,,,,,
PPE Summary,UCSF ,"PPE, use of scarce resources",Inpatient/ED,Protocol/Guideline,https://infectioncontrol.ucsfmedicalcenter.org/sites/g/files/tkssra4681/f/Revised%20PPE%20Guidelines_DY.pdf,,,,,,
UCSF Health COVID-19 Clinical Resources,UCSF,General Resource,"Inpatient/ED, Ambulatory/Discharge",Website,https://infectioncontrol.ucsfmedicalcenter.org/coronavirus,,,,,,
Personal Protective Equipment Re-Use Recommendations,UCSF,"PPE, use of scarce resources",Inpatient/ED,Protocol/Guideline,https://infectioncontrol.ucsfmedicalcenter.org/sites/g/files/tkssra4681/f/Reuse_Guidelines_PPE.pdf,,,,,,
UCSF COVID-19 CONTROL PLAN,UCSF,"Infection Control, General Resource, Health System Planning",Inpatient/ED,Protocol/Guideline,https://infectioncontrol.ucsfmedicalcenter.org/sites/g/files/tkssra4681/f/UCSF%20COVID-19%20Control%20Plan_02-28-2020.pdf,,,,,,
