Title,Source/Institution,Tags,Inpatient/Ambulatory,Resource Type,Link,Notes,Date,,,,search terms
VIRUS COVID-19 Registry,Society for Critical Care Medicine,Research,Inpatient/ED,Website,https://sccm.org/Research/Research/Discovery-Research-Network/VIRUS-COVID-19-Registry,COVID-19 Patient Registry ,3/27/20,,,,
Management of Critically Ill Adults with COVID-19,Journal of the American Medical Associaiton,"General Resource, ICU for non-ICU-trained Providers",Inpatient/ED,Journal Article,https://jamanetwork.com/journals/jama/fullarticle/2763879,JAMA Clinical Guideline Synopsis: SCCM Covid-19 Guidelines,3/26/20,,,,
Internet Book of Critical Care -- COVID-19,EMCrit.org,General Resource,Inpatient/ED,Website,https://emcrit.org/ibcc/COVID19/,EMCrit / PULMCrit resource,3/26/20,,,,
COVID-19 Med App,Independent,General Resource,Inpatient/ED,Web-based app,http://covid19medapp.com/,,,,,,
CAPC COVID-19 Response Resources,Center to Advance Palliative Care,"General Resource, Palliative Care",Inpatient/ED,Website,https://www.capc.org/toolkits/covid-19-response-resources/,"Palliative Care recommendations, conversation scripts",,,,,
Johns Hopkins Coronavirus Resource Center,Johns Hopkins University and Medicine,General Resource,N/A,Website ,https://coronavirus.jhu.edu/map.html,Worldwide tracking of SARS-CoV-2 spread,,,,,
Treatment for severe acute respiratory distress syndrome from COVID-19,Lancet Respiratory Medicine,"General Resource, Mechanical Ventilation, Drug Therapy, ICU for non ICU-trained Providers",Inpatient/ED,Journal Article,https://www.thelancet.com/journals/lanres/article/PIIS2213-2600(20)30127-2/fulltext,Useful for non ICU-trained clinicians managing ICU patients,,,,,
QUICK GUIDE FOR MANAGEMENT OF PATIENTS WITH COVID19: HOSPITALIST GUIDE + INITIAL WORK-UP,Brigham and Women's Hospital,General Management,Inpatient/ED,Quick Reference,https://www.covidprotocols.org/pdf/INITIAL%20WORKUP%20FOR%20THE%20HOSPITALIST-%20covid%20quick%20guide.pdf,,,,,,
CARING FOR COVID19: QUICK GUIDE FOR THE INTENSITIVIST,Brigham and Women's Hospital,"General Management, ICU for non ICU-trained Providers",Inpatient/ED,Quick Reference,https://www.covidprotocols.org/pdf/INTENSIVISIT%20covid%20quick%20guide.pdf,Useful for non ICU-trained clinicians managing ICU patients,,,,,
QUICK GUIDE FOR MANAGEMENT OF CRITICALLY ILL PATIENTS WITH COVID19: RESPIRATORY FAILURE,Brigham and Women's Hospital,"General Management, ICU for non ICU-trained Providers",Inpatient/ED,Quick Reference,https://www.covidprotocols.org/pdf/RESP%20FAILURE-%20covid%20quick%20guide.pdf,Useful for non ICU-trained clinicians managing ICU patients,,,,,
